club_name,canonical_name,league_name,city,state,source_url
90+ Project SC,90+ Project,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Basin Sounders,Basin Sounders,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
BVB IA WA - Eastside,Bvb Ia Wa - Eastside,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
BVBIA WA - Seattle,Bvbia Wa - Seattle,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Cascade Premier Soccer Club,Cascade Premier,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Central Washington Sounders,Central Washington Sounders,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Chuckanut Tide FC,Chuckanut Tide,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
CYSA Timber Barons,Cysa Timber Barons,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Dragons FC,Dragons,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Eagleclaw Football Club,Eagleclaw Football,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Emerald City FC,Emerald,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Everett Youth Soccer Club,Everett,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Evergreen United FC,Evergreen,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
FC Edmonds,Edmonds,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Gala FC,Gala,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Granite Falls YSC,Granite Falls Ysc,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Highline Premier FC,Highline Premier,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Lake Washington Premier Football Club,Lake Washington Premier Football,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Mt. Rainier Futbol Club,Mt. Rainier Futbol,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Mukilteo Youth SC,Mukilteo,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Nido Aguila Seattle,Nido Aguila Seattle,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
North County Alliance Football Club,North County Alliance Football,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
North Kitsap Soccer Club,North Kitsap,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
NPSA,Npsa,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Pacific FC Washington,Pacific Washington,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
Pilchuck Soccer Alliance - Force,Pilchuck Alliance - Force,US Club NPL - Pacific NW NPL,,,https://system.gotsport.com/org_event/events/50025/clubs
